A_T,A_Ax,A_Ay,A_Az,A_Gx,A_Gy,A_Gz,B_T,B_Ax,B_Ay,B_Az,B_Gx,B_Gy,B_Gz,angle
48.7,0.490722656,-0.383789063,-0.770507813,-4.878048897,7.682926655,9.878048897,48.7,-0.720214844,0.498535156,-0.491699219,8.780488014,-8.292682648,8.414633751,150
48.75,0.482910156,-0.394042969,-0.779296875,0.853658557,9.268292427,9.451219559,48.75,-0.698730469,0.515625,-0.491210938,5.670731544,-6.768292904,8.536585808,150
48.8,0.507324219,-0.397460938,-0.791992188,-3.414634228,6.951219559,10.30487823,48.8,-0.703613281,0.504394531,-0.476074219,3.353658438,-4.939024448,9.146341324,150
48.85,0.505859375,-0.382324219,-0.780273438,2.804877996,4.756097794,10.79268265,48.85,-0.712890625,0.530761719,-0.474121094,2.98780489,-3.902439117,10.85365868,150
48.9,0.516113281,-0.376953125,-0.775390625,-2.134146452,2.743902445,10.73170757,48.9,-0.71484375,0.5078125,-0.467773438,3.536585331,-4.817073345,11.03658581,150
48.95,0.508300781,-0.368652344,-0.770019531,0.792682946,0.670731723,10.67073154,48.95,-0.706054688,0.51953125,-0.455566406,-0.792682946,-4.268292904,11.34146309,150
49,0.514160156,-0.371582031,-0.758300781,1.219512224,-2.5,9.024390221,49,-0.700683594,0.524414063,-0.4296875,-0.548780501,-5.121951103,10.73170757,150
49.05,0.522460938,-0.384765625,-0.759277344,-0.792682946,-4.146341324,8.170731544,49.05,-0.705078125,0.545898438,-0.441894531,-0.182926834,-6.524390221,10.42682934,150
49.1,0.489746094,-0.401855469,-0.752929688,1.524390221,-2.256097555,6.585365772,49.1,-0.703613281,0.567382813,-0.430664063,0.670731723,-7.804878235,8.353658676,150
49.15,0.473144531,-0.427246094,-0.762695313,0.914634168,0.243902445,7.195121765,49.15,-0.706054688,0.552734375,-0.459960938,8.475609779,-7.804878235,6.341463566,150
49.2,0.477050781,-0.422363281,-0.775390625,2.378048897,0.609756112,8.231707573,49.2,-0.69140625,0.533691406,-0.44921875,3.536585331,-5.914634228,6.707316875,150
49.25,0.474121094,-0.426757813,-0.776367188,-1.402438998,-1.097561002,9.085366249,49.25,-0.685058594,0.565917969,-0.451660156,2.439024448,-5.243902206,7.865853786,150
49.3,0.458984375,-0.416015625,-0.772460938,-1.280487776,-0.426829278,8.292682648,49.3,-0.690429688,0.559082031,-0.4453125,4.573170662,-5.121951103,6.524390221,150
49.35,0.454589844,-0.422851563,-0.769042969,-2.743902445,-0.365853667,7.01219511,49.35,-0.675292969,0.561035156,-0.458984375,5.060975552,-4.390244007,4.695121765,150
49.4,0.452636719,-0.435546875,-0.762207031,-3.170731783,0.426829278,6.341463566,49.4,-0.682128906,0.571777344,-0.454101563,4.634146214,-4.756097794,3.658536673,150
49.45,0.458984375,-0.426269531,-0.784667969,-4.695121765,0.975609779,4.817073345,49.45,-0.681640625,0.580566406,-0.445800781,5.426829338,-2.439024448,1.524390221,150
49.5,0.451660156,-0.423339844,-0.781738281,-2.926829338,-1.402438998,1.524390221,49.5,-0.665039063,0.583496094,-0.459472656,6.036585331,-2.743902445,-0.975609779,150
49.55,0.4296875,-0.427246094,-0.774414063,-3.841463327,-5.121951103,-1.341463447,49.55,-0.6640625,0.5546875,-0.444824219,5.365853786,-2.743902445,-2.865853548,150
49.6,0.450195313,-0.438476563,-0.78125,-0.182926834,-4.268292904,-4.634146214,49.6,-0.679199219,0.597167969,-0.478515625,0.975609779,3.170731783,-4.756097794,150
49.65,0.434570313,-0.454589844,-0.785644531,-4.024390221,-5.548780441,-6.036585331,49.65,-0.675292969,0.5703125,-0.467285156,3.231707335,-1.036585331,-7.378048897,150
49.7,0.432128906,-0.462890625,-0.790039063,-0.182926834,-6.219511986,-6.768292904,49.7,-0.671386719,0.568359375,-0.485839844,5.182926655,1.341463447,-8.597560883,150
49.75,0.455078125,-0.451660156,-0.797363281,3.414634228,-8.536585808,-6.585365772,49.75,-0.681640625,0.563476563,-0.460449219,-3.170731783,4.878048897,-7.98780489,150
49.8,0.449707031,-0.433105469,-0.782226563,-2.134146452,-12.3780489,-6.890244007,49.8,-0.669921875,0.552734375,-0.447265625,-4.51219511,5.304878235,-8.719511986,150
49.85,0.447265625,-0.432128906,-0.775390625,6.341463566,-12.01219559,-7.5,49.85,-0.69921875,0.557617188,-0.449707031,1.036585331,5.670731544,-7.256097794,150
49.9,0.424316406,-0.430175781,-0.778320313,1.951219559,-10.97560978,-7.5,49.9,-0.687011719,0.536132813,-0.440917969,-1.524390221,8.10975647,-8.414633751,150
49.95,0.463378906,-0.392578125,-0.77734375,8.292682648,-9.817072868,-8.536585808,49.95,-0.706054688,0.53515625,-0.458984375,-0.121951222,9.695121765,-9.268292427,150
50,0.43359375,-0.41796875,-0.7890625,2.134146452,-13.59756088,-8.597560883,50,-0.677734375,0.524414063,-0.443359375,1.036585331,4.085365772,-12.3780489,150
50.05,0.434082031,-0.412597656,-0.79296875,-3.536585331,-13.47560978,-8.841463089,50.05,-0.720214844,0.509277344,-0.477050781,3.780487776,2.804877996,-15.42682934,120
50.1,0.393554688,-0.408691406,-0.788085938,1.829268336,-11.15853691,-11.34146309,50.1,-0.70703125,0.499511719,-0.490722656,-2.621951103,3.048780441,-15.1219511,120
50.15,0.400390625,-0.409179688,-0.815917969,-5.792683125,-6.341463566,-11.28048801,50.15,-0.743652344,0.47265625,-0.5,-1.402438998,6.829268456,-14.45121956,120
50.2,0.423828125,-0.377929688,-0.843261719,-3.414634228,-5.304878235,-10.67073154,50.2,-0.759277344,0.453125,-0.484863281,-6.097560883,9.024390221,-16.15853691,120
50.25,0.444824219,-0.3671875,-0.861328125,-1.463414669,-6.219511986,-12.6219511,50.25,-0.775878906,0.473144531,-0.493652344,-4.573170662,8.841463089,-13.17073154,120
50.3,0.424316406,-0.373535156,-0.850585938,-1.707317114,-8.536585808,-11.15853691,50.3,-0.784179688,0.431152344,-0.487304688,-1.890243888,4.695121765,-12.56097603,120
50.35,0.412109375,-0.368164063,-0.852050781,0.243902445,-10.18292713,-10.54878044,50.35,-0.762695313,0.423828125,-0.497558594,-6.890244007,7.317073345,-12.07317066,120
50.4,0.404296875,-0.357910156,-0.872070313,0.670731723,-14.39024353,-10.60975647,50.4,-0.74609375,0.4296875,-0.500976563,-0.548780501,7.743902206,-6.768292904,120
50.45,0.383789063,-0.355957031,-0.875,4.451219559,-23.71951294,-7.804878235,50.45,-0.731933594,0.408203125,-0.514648438,1.097561002,7.256097794,-7.560975552,120
50.5,0.451171875,-0.333007813,-0.962402344,3.963414669,-39.14634323,-2.621951103,50.5,-0.763183594,0.370117188,-0.499511719,1.463414669,8.597560883,-6.524390221,120
50.55,0.439453125,-0.344726563,-1.020996094,1.158536553,-72.98780823,0.792682946,50.55,-0.743652344,0.35546875,-0.372558594,-5.243902206,-5.426829338,-1.585365891,120
50.6,0.345214844,-0.386230469,-1.041992188,26.8292675,-108.2317047,11.58536625,50.6,-0.688476563,0.381347656,-0.426269531,-0.792682946,-17.07317162,-8.292682648,120
50.65,0.243652344,-0.426757813,-0.931152344,10.1219511,-132.2561035,12.98780441,50.65,-0.71484375,0.404296875,-0.472167969,0.975609779,-16.70731735,-2.682926893,120
50.7,0.083984375,-0.364746094,-0.837402344,44.63414764,-131.3414612,20.42682838,50.7,-0.736328125,0.379394531,-0.494628906,0.121951222,-14.02439022,-3.109755993,120
50.75,-0.035644531,-0.430175781,-0.786621094,5.731707096,-127.5609741,21.46341515,50.75,-0.75,0.431152344,-0.453613281,3.414634228,-15.18292713,-10.73170757,120
50.8,-0.106933594,-0.420898438,-0.764160156,-3.048780441,-112.0121918,27.98780441,50.8,-0.788574219,0.326660156,-0.453125,4.024390221,-13.90243912,-9.695121765,120
50.85,-0.253417969,-0.369140625,-0.687988281,-35.24390411,-94.45121765,15.91463375,50.85,-0.793945313,0.390136719,-0.425292969,-3.353658438,-12.80487823,2.01219511,120
